Tool,ID,Page,Label,SpatialDist
PdfAct,4.tar_1701.01628.gz_A_Lower_Bound_on_the_Probability_of_Error_of_Polar_Codes_over_BMS_Channels_black.pdf,7,paragraph,"(0, 0, 0, 0.40202604920405205)"
PdfAct,3.tar_1701.01288.gz_MPv2_black.pdf,20,paragraph,"(0, 0, 0, 0.37265093962415036)"
PdfAct,3.tar_1701.01159.gz_komissarov2_clean_black.pdf,3,paragraph,"(0, 0, 0, 0.5983534769661937)"
PdfAct,1.tar_1701.00431.gz_PRD_improved_black.pdf,15,paragraph,"(0, 0, 0, 0.25787728026533996)"
PdfAct,9.tar_1701.03934.gz_Main_black.pdf,17,paragraph,"(0, 0, 0, 0.6267757210503659)"
PdfAct,3.tar_1701.00994.gz_lst_black.pdf,18,paragraph,"(0, 0, 0, 0.4154250657318142)"
PdfAct,19.tar_1701.08460.gz_main_black.pdf,5,paragraph,"(0, 0, 0, 0.5960755275823769)"
PdfAct,2.tar_1701.00912.gz_articulo_black.pdf,7,paragraph,"(0, 0, 0, 0.5731456326665021)"
PdfAct,6.tar_1701.02390.gz_main_black.pdf,9,paragraph,"(0, 0, 0, 0.621173928700036)"
PdfAct,20.tar_1701.09090.gz_KRbKSurface_Dynamics_bbl_rev4-2col_black.pdf,10,paragraph,"(0, 0, 0, 0.1200787401574803)"
PdfAct,4.tar_1701.01603.gz_DiagCompArxiveDec17_black.pdf,19,paragraph,"(0, 0, 0, 0.40330920372285417)"
PdfAct,5.tar_1701.01733.gz_manuscript_black.pdf,6,paragraph,"(0, 0, 0, 0.5548823948681396)"
PdfAct,9.tar_1701.03993.gz_main-v4_black.pdf,3,paragraph,"(0, 0, 0, 0.9420509291121817)"
PdfAct,9.tar_1701.03944.gz_arXiv_nonret_black.pdf,7,paragraph,"(0, 0, 0, 0.7289644012944985)"
PdfAct,19.tar_1701.08327.gz_ms_black.pdf,18,paragraph,0
PdfAct,8.tar_1701.03247.gz_zhuang2016scalable_arxiv_black.pdf,19,paragraph,"(0, 0, 0, 0.32111000991080274)"
PdfAct,1.tar_1701.00113.gz_toposAlgebra_black.pdf,7,paragraph,"(0, 0, 0, 0.3687539531941809)"
PdfAct,8.tar_1701.03389.gz_epi_vandewalle_black.pdf,8,paragraph,"(0, 0, 0, 0.45635528330781017)"
PdfAct,2.tar_1701.00600.gz_XD_Stirling-105-12-12-H_black.pdf,3,paragraph,"(0, 0, 0, 0.8081161448312052)"
