Tool,ID,Page,Label,SpatialDist
PdfAct,222.tar_1710.01051.gz_M_Piatek_ISQS_25_black.pdf,10,section,"(0.021052631578947368, 0.010869565217391304, 0.3333333333333333, 0.06875)"
PdfAct,240.tar_1710.08025.gz_rainbow_1_black.pdf,4,section,"(0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.7945205479452055)"
PdfAct,245.tar_1710.10348.gz_iclr2018_conference_black.pdf,5,section,"(0, 0, 0, 0.16326530612244894)"
PdfAct,239.tar_1710.07462.gz_arxiv_09_2018_black.pdf,3,section,"(0, 0, 0, 0.11627906976744186)"
PdfAct,243.tar_1710.09329.gz_main_black.pdf,5,section,"(0, 0, 0, 0.16279069767441853)"
PdfAct,238.tar_1710.07174.gz_CuCrO2miyata_black.pdf,3,section,0
PdfAct,232.tar_1710.04762.gz_space-vlasovrev3_black.pdf,46,section,"(0, 0, 0, 0.12851405622489964)"
PdfAct,244.tar_1710.09917.gz_transport9_black.pdf,10,section,"(0, 0, 0, 0.014500258933195198)"
PdfAct,237.tar_1710.06901.gz_ms_black.pdf,3,section,"(0.5, 0.5, 0.5, 0.7540983606557377)"
PdfAct,224.tar_1710.01358.gz_CDC_Tutorial_paper_2017_black.pdf,7,section,"(0.25641025641025644, 0.1724137931034483, 0.5, 0.48)"
PdfAct,233.tar_1710.05219.gz_nips_2017_ans_black.pdf,3,section,0
PdfAct,231.tar_1710.04215.gz_modern_semiclassical_theory_black.pdf,4,section,0
PdfAct,231.tar_1710.04215.gz_modern_semiclassical_theory_black.pdf,25,section,"(0, 0, 0, 0.1012658227848101)"
PdfAct,242.tar_1710.08820.gz_permutations9_black.pdf,1,section,0
PdfAct,239.tar_1710.07534.gz_riolo-slavich-15_black.pdf,9,section,"(0, 0, 0, 0.20359281437125745)"
PdfAct,240.tar_1710.07919.gz_3DDirac_black.pdf,10,section,"(0, 0, 0, 0.1014492753623189)"
PdfAct,242.tar_1710.09064.gz_main_black.pdf,0,section,"(0.6956521739130435, 0.6666666666666666, 0.7272727272727273, 0.7183673469387756)"
PdfAct,233.tar_1710.05048.gz_IEEEJOceanEngr_flowNavigation_arXiv_black.pdf,10,section,0
PdfAct,240.tar_1710.07946.gz_cur_3_2018_black.pdf,23,section,"(0.05555555555555555, 0.038461538461538464, 0.1, 0.21848739495798314)"
